cluster_id,ligand_name,pdb_id,status
T038,OADMET-0006579,1m13,success
T038,OADMET-0006579,1nrl,success
T038,OADMET-0006579,1skx,success
T038,OADMET-0006579,2o9i,success
T038,OADMET-0006579,2qnv,success
T038,OADMET-0006579,3hvl,success
T038,OADMET-0006579,3r8d,success
T038,OADMET-0006579,4ny9,success
T038,OADMET-0006579,4s0t,success
T038,OADMET-0006579,4x1f,success
T038,OADMET-0006579,4x1g,success
T038,OADMET-0006579,4xhd,success
T038,OADMET-0006579,5a86,success
T038,OADMET-0006579,5x0r,success
T038,OADMET-0006579,6bns,success
T038,OADMET-0006579,6dup,success
T038,OADMET-0006579,6hj2,success
T038,OADMET-0006579,6hty,success
T038,OADMET-0006579,6nx1,success
T038,OADMET-0006579,6p2b,success
T038,OADMET-0006579,6s41,success
T038,OADMET-0006579,6tfi,success
T038,OADMET-0006579,6xp9,success
T038,OADMET-0006579,7ax9,success
T038,OADMET-0006579,7axa,success
T038,OADMET-0006579,7axb,success
T038,OADMET-0006579,7axc,success
T038,OADMET-0006579,7axd,success
T038,OADMET-0006579,7axe,success
T038,OADMET-0006579,7axf,success
T038,OADMET-0006579,7axg,success
T038,OADMET-0006579,7axh,success
T038,OADMET-0006579,7axi,success
T038,OADMET-0006579,7axj,success
T038,OADMET-0006579,7axk,success
T038,OADMET-0006579,7axl,success
T038,OADMET-0006579,7n2a,success
T038,OADMET-0006579,7rio,success
T038,OADMET-0006579,7riu,success
T038,OADMET-0006579,7riv,success
T038,OADMET-0006579,7yfk,success
T038,OADMET-0006579,8cct,success
T038,OADMET-0006579,8cf9,success
T038,OADMET-0006579,8ch8,success
T038,OADMET-0006579,8e3n,success
T038,OADMET-0006579,8eqz,success
T038,OADMET-0006579,8f5y,success
T038,OADMET-0006579,8fpe,success
T038,OADMET-0006579,8r00,success
T038,OADMET-0006579,8r81,success
T038,OADMET-0006579,8r82,success
T038,OADMET-0006579,8svo,success
T038,OADMET-0006579,8svp,success
T038,OADMET-0006579,8svq,success
T038,OADMET-0006579,8svr,success
T038,OADMET-0006579,8svs,success
T038,OADMET-0006579,8svt,success
T038,OADMET-0006579,8svx,success
T038,OADMET-0006579,8szv,success
T038,OADMET-0006579,9beq,success
T038,OADMET-0006579,9fzi,success
T038,OADMET-0006579,9fzj,success
