cluster_id,ligand_name,pdb_id,status
A2667,OCNT-2310167,1m13,success
A2667,OCNT-2310167,1nrl,success
A2667,OCNT-2310167,1skx,success
A2667,OCNT-2310167,2o9i,success
A2667,OCNT-2310167,2qnv,success
A2667,OCNT-2310167,3hvl,success
A2667,OCNT-2310167,3r8d,success
A2667,OCNT-2310167,4ny9,success
A2667,OCNT-2310167,4s0t,success
A2667,OCNT-2310167,4x1f,success
A2667,OCNT-2310167,4x1g,success
A2667,OCNT-2310167,4xhd,success
A2667,OCNT-2310167,5a86,success
A2667,OCNT-2310167,5x0r,success
A2667,OCNT-2310167,6bns,success
A2667,OCNT-2310167,6dup,success
A2667,OCNT-2310167,6hj2,success
A2667,OCNT-2310167,6hty,success
A2667,OCNT-2310167,6nx1,success
A2667,OCNT-2310167,6p2b,success
A2667,OCNT-2310167,6s41,success
A2667,OCNT-2310167,6tfi,success
A2667,OCNT-2310167,6xp9,success
A2667,OCNT-2310167,7ax9,success
A2667,OCNT-2310167,7axa,success
A2667,OCNT-2310167,7axb,success
A2667,OCNT-2310167,7axc,success
A2667,OCNT-2310167,7axd,success
A2667,OCNT-2310167,7axe,success
A2667,OCNT-2310167,7axf,success
A2667,OCNT-2310167,7axg,success
A2667,OCNT-2310167,7axh,success
A2667,OCNT-2310167,7axi,success
A2667,OCNT-2310167,7axj,success
A2667,OCNT-2310167,7axk,success
A2667,OCNT-2310167,7axl,success
A2667,OCNT-2310167,7n2a,success
A2667,OCNT-2310167,7rio,success
A2667,OCNT-2310167,7riu,success
A2667,OCNT-2310167,7riv,success
A2667,OCNT-2310167,7yfk,success
A2667,OCNT-2310167,8cct,success
A2667,OCNT-2310167,8cf9,success
A2667,OCNT-2310167,8ch8,success
A2667,OCNT-2310167,8e3n,success
A2667,OCNT-2310167,8eqz,success
A2667,OCNT-2310167,8f5y,success
A2667,OCNT-2310167,8fpe,success
A2667,OCNT-2310167,8r00,success
A2667,OCNT-2310167,8r81,success
A2667,OCNT-2310167,8r82,success
A2667,OCNT-2310167,8svo,success
A2667,OCNT-2310167,8svp,success
A2667,OCNT-2310167,8svq,success
A2667,OCNT-2310167,8svr,success
A2667,OCNT-2310167,8svs,success
A2667,OCNT-2310167,8svt,success
A2667,OCNT-2310167,8svx,success
A2667,OCNT-2310167,8szv,success
A2667,OCNT-2310167,9beq,success
A2667,OCNT-2310167,9fzi,success
A2667,OCNT-2310167,9fzj,success
