cluster_id,ligand_name,pdb_id,status
T102,OADMET-0006511,1m13,success
T102,OADMET-0006511,1nrl,success
T102,OADMET-0006511,1skx,success
T102,OADMET-0006511,2o9i,success
T102,OADMET-0006511,2qnv,success
T102,OADMET-0006511,3hvl,success
T102,OADMET-0006511,3r8d,success
T102,OADMET-0006511,4ny9,success
T102,OADMET-0006511,4s0t,success
T102,OADMET-0006511,4x1f,success
T102,OADMET-0006511,4x1g,success
T102,OADMET-0006511,4xhd,success
T102,OADMET-0006511,5a86,success
T102,OADMET-0006511,5x0r,success
T102,OADMET-0006511,6bns,success
T102,OADMET-0006511,6dup,success
T102,OADMET-0006511,6hj2,success
T102,OADMET-0006511,6hty,success
T102,OADMET-0006511,6nx1,success
T102,OADMET-0006511,6p2b,success
T102,OADMET-0006511,6s41,success
T102,OADMET-0006511,6tfi,success
T102,OADMET-0006511,6xp9,success
T102,OADMET-0006511,7ax9,success
T102,OADMET-0006511,7axa,success
T102,OADMET-0006511,7axb,success
T102,OADMET-0006511,7axc,success
T102,OADMET-0006511,7axd,success
T102,OADMET-0006511,7axe,success
T102,OADMET-0006511,7axf,success
T102,OADMET-0006511,7axg,success
T102,OADMET-0006511,7axh,success
T102,OADMET-0006511,7axi,success
T102,OADMET-0006511,7axj,success
T102,OADMET-0006511,7axk,success
T102,OADMET-0006511,7axl,success
T102,OADMET-0006511,7n2a,success
T102,OADMET-0006511,7rio,success
T102,OADMET-0006511,7riu,success
T102,OADMET-0006511,7riv,success
T102,OADMET-0006511,7yfk,success
T102,OADMET-0006511,8cct,success
T102,OADMET-0006511,8cf9,success
T102,OADMET-0006511,8ch8,success
T102,OADMET-0006511,8e3n,success
T102,OADMET-0006511,8eqz,success
T102,OADMET-0006511,8f5y,success
T102,OADMET-0006511,8fpe,success
T102,OADMET-0006511,8r00,success
T102,OADMET-0006511,8r81,success
T102,OADMET-0006511,8r82,success
T102,OADMET-0006511,8svo,success
T102,OADMET-0006511,8svp,success
T102,OADMET-0006511,8svq,success
T102,OADMET-0006511,8svr,success
T102,OADMET-0006511,8svs,success
T102,OADMET-0006511,8svt,success
T102,OADMET-0006511,8svx,success
T102,OADMET-0006511,8szv,success
T102,OADMET-0006511,9beq,success
T102,OADMET-0006511,9fzi,success
T102,OADMET-0006511,9fzj,success
