cluster_id,ligand_name,pdb_id,status
T506,OADMET-0006093,1m13,success
T506,OADMET-0006093,1nrl,success
T506,OADMET-0006093,1skx,success
T506,OADMET-0006093,2o9i,success
T506,OADMET-0006093,2qnv,success
T506,OADMET-0006093,3hvl,success
T506,OADMET-0006093,3r8d,success
T506,OADMET-0006093,4ny9,success
T506,OADMET-0006093,4s0t,success
T506,OADMET-0006093,4x1f,success
T506,OADMET-0006093,4x1g,success
T506,OADMET-0006093,4xhd,success
T506,OADMET-0006093,5a86,success
T506,OADMET-0006093,5x0r,success
T506,OADMET-0006093,6bns,success
T506,OADMET-0006093,6dup,success
T506,OADMET-0006093,6hj2,success
T506,OADMET-0006093,6hty,success
T506,OADMET-0006093,6nx1,success
T506,OADMET-0006093,6p2b,success
T506,OADMET-0006093,6s41,success
T506,OADMET-0006093,6tfi,success
T506,OADMET-0006093,6xp9,success
T506,OADMET-0006093,7ax9,success
T506,OADMET-0006093,7axa,success
T506,OADMET-0006093,7axb,success
T506,OADMET-0006093,7axc,success
T506,OADMET-0006093,7axd,success
T506,OADMET-0006093,7axe,success
T506,OADMET-0006093,7axf,success
T506,OADMET-0006093,7axg,success
T506,OADMET-0006093,7axh,success
T506,OADMET-0006093,7axi,success
T506,OADMET-0006093,7axj,success
T506,OADMET-0006093,7axk,success
T506,OADMET-0006093,7axl,success
T506,OADMET-0006093,7n2a,success
T506,OADMET-0006093,7rio,success
T506,OADMET-0006093,7riu,success
T506,OADMET-0006093,7riv,success
T506,OADMET-0006093,7yfk,success
T506,OADMET-0006093,8cct,success
T506,OADMET-0006093,8cf9,success
T506,OADMET-0006093,8ch8,success
T506,OADMET-0006093,8e3n,success
T506,OADMET-0006093,8eqz,success
T506,OADMET-0006093,8f5y,success
T506,OADMET-0006093,8fpe,success
T506,OADMET-0006093,8r00,success
T506,OADMET-0006093,8r81,success
T506,OADMET-0006093,8r82,success
T506,OADMET-0006093,8svo,success
T506,OADMET-0006093,8svp,success
T506,OADMET-0006093,8svq,success
T506,OADMET-0006093,8svr,success
T506,OADMET-0006093,8svs,success
T506,OADMET-0006093,8svt,success
T506,OADMET-0006093,8svx,success
T506,OADMET-0006093,8szv,success
T506,OADMET-0006093,9beq,success
T506,OADMET-0006093,9fzi,success
T506,OADMET-0006093,9fzj,success
