cluster_id,ligand_name,pdb_id,status
A2496,OCNT-2312239,1m13,success
A2496,OCNT-2312239,1nrl,success
A2496,OCNT-2312239,1skx,success
A2496,OCNT-2312239,2o9i,success
A2496,OCNT-2312239,2qnv,success
A2496,OCNT-2312239,3hvl,success
A2496,OCNT-2312239,3r8d,success
A2496,OCNT-2312239,4ny9,success
A2496,OCNT-2312239,4s0t,success
A2496,OCNT-2312239,4x1f,success
A2496,OCNT-2312239,4x1g,success
A2496,OCNT-2312239,4xhd,success
A2496,OCNT-2312239,5a86,success
A2496,OCNT-2312239,5x0r,success
A2496,OCNT-2312239,6bns,success
A2496,OCNT-2312239,6dup,success
A2496,OCNT-2312239,6hj2,success
A2496,OCNT-2312239,6hty,success
A2496,OCNT-2312239,6nx1,success
A2496,OCNT-2312239,6p2b,success
A2496,OCNT-2312239,6s41,success
A2496,OCNT-2312239,6tfi,success
A2496,OCNT-2312239,6xp9,success
A2496,OCNT-2312239,7ax9,success
A2496,OCNT-2312239,7axa,success
A2496,OCNT-2312239,7axb,success
A2496,OCNT-2312239,7axc,success
A2496,OCNT-2312239,7axd,success
A2496,OCNT-2312239,7axe,success
A2496,OCNT-2312239,7axf,success
A2496,OCNT-2312239,7axg,success
A2496,OCNT-2312239,7axh,success
A2496,OCNT-2312239,7axi,success
A2496,OCNT-2312239,7axj,success
A2496,OCNT-2312239,7axk,success
A2496,OCNT-2312239,7axl,success
A2496,OCNT-2312239,7n2a,success
A2496,OCNT-2312239,7rio,success
A2496,OCNT-2312239,7riu,success
A2496,OCNT-2312239,7riv,success
A2496,OCNT-2312239,7yfk,success
A2496,OCNT-2312239,8cct,success
A2496,OCNT-2312239,8cf9,success
A2496,OCNT-2312239,8ch8,success
A2496,OCNT-2312239,8e3n,success
A2496,OCNT-2312239,8eqz,success
A2496,OCNT-2312239,8f5y,success
A2496,OCNT-2312239,8fpe,success
A2496,OCNT-2312239,8r00,success
A2496,OCNT-2312239,8r81,success
A2496,OCNT-2312239,8r82,success
A2496,OCNT-2312239,8svo,success
A2496,OCNT-2312239,8svp,success
A2496,OCNT-2312239,8svq,success
A2496,OCNT-2312239,8svr,success
A2496,OCNT-2312239,8svs,success
A2496,OCNT-2312239,8svt,success
A2496,OCNT-2312239,8svx,success
A2496,OCNT-2312239,8szv,success
A2496,OCNT-2312239,9beq,success
A2496,OCNT-2312239,9fzi,success
A2496,OCNT-2312239,9fzj,success
