cluster_id,ligand_name,pdb_id,status
476,OADMET-0006566,1m13,success
476,OADMET-0006566,1nrl,success
476,OADMET-0006566,1skx,success
476,OADMET-0006566,2o9i,success
476,OADMET-0006566,2qnv,success
476,OADMET-0006566,3hvl,success
476,OADMET-0006566,3r8d,success
476,OADMET-0006566,4ny9,success
476,OADMET-0006566,4s0t,success
476,OADMET-0006566,4x1f,success
476,OADMET-0006566,4x1g,success
476,OADMET-0006566,4xhd,success
476,OADMET-0006566,5a86,success
476,OADMET-0006566,5x0r,success
476,OADMET-0006566,6bns,success
476,OADMET-0006566,6dup,success
476,OADMET-0006566,6hj2,success
476,OADMET-0006566,6hty,success
476,OADMET-0006566,6nx1,success
476,OADMET-0006566,6p2b,success
476,OADMET-0006566,6s41,success
476,OADMET-0006566,6tfi,success
476,OADMET-0006566,6xp9,success
476,OADMET-0006566,7ax9,success
476,OADMET-0006566,7axa,success
476,OADMET-0006566,7axb,success
476,OADMET-0006566,7axc,success
476,OADMET-0006566,7axd,success
476,OADMET-0006566,7axe,success
476,OADMET-0006566,7axf,success
476,OADMET-0006566,7axg,success
476,OADMET-0006566,7axh,success
476,OADMET-0006566,7axi,success
476,OADMET-0006566,7axj,success
476,OADMET-0006566,7axk,success
476,OADMET-0006566,7axl,success
476,OADMET-0006566,7n2a,success
476,OADMET-0006566,7rio,success
476,OADMET-0006566,7riu,success
476,OADMET-0006566,7riv,success
476,OADMET-0006566,7yfk,success
476,OADMET-0006566,8cct,success
476,OADMET-0006566,8cf9,success
476,OADMET-0006566,8ch8,success
476,OADMET-0006566,8e3n,success
476,OADMET-0006566,8eqz,success
476,OADMET-0006566,8f5y,success
476,OADMET-0006566,8fpe,success
476,OADMET-0006566,8r00,success
476,OADMET-0006566,8r81,success
476,OADMET-0006566,8r82,success
476,OADMET-0006566,8svo,success
476,OADMET-0006566,8svp,success
476,OADMET-0006566,8svq,success
476,OADMET-0006566,8svr,success
476,OADMET-0006566,8svs,success
476,OADMET-0006566,8svt,success
476,OADMET-0006566,8svx,success
476,OADMET-0006566,8szv,success
476,OADMET-0006566,9beq,success
476,OADMET-0006566,9fzi,success
476,OADMET-0006566,9fzj,success
